date,home_team,home_score,away_score,away_team,final_score
05-10-2024,Brighton,3,2,Tottenham,Brighton 3 - 2 Tottenham
18-10-2024,Newcastle,0,1,Brighton,Newcastle 0 - 1 Brighton
25-10-2024,Brighton,2,2,Wolves,Brighton 2 - 2 Wolves
01-11-2024,Liverpool,2,1,Brighton,Liverpool 2 - 1 Brighton
08-11-2024,Brighton,2,1,Man City,Brighton 2 - 1 Man City
22-11-2024,Bournemouth,1,2,Brighton,Bournemouth 1 - 2 Brighton
28-11-2024,Brighton,1,1,Southampton,Brighton 1 - 1 Southampton
04-12-2024,Fulham,3,1,Brighton,Fulham 3 - 1 Brighton
07-12-2024,Leicester,2,2,Brighton,Leicester 2 - 2 Brighton
14-12-2024,Brighton,1,3,Crystal Palace,Brighton 1 - 3 Crystal Palace
20-12-2024,West Ham,1,1,Brighton,West Ham 1 - 1 Brighton
26-12-2024,Brighton,0,0,Brentford,Brighton 0 - 0 Brentford
29-12-2024,Aston Villa,2,2,Brighton,Aston Villa 2 - 2 Brighton
03-01-2025,Brighton,1,1,Arsenal,Brighton 1 - 1 Arsenal
15-01-2025,Ipswich,0,2,Brighton,Ipswich 0 - 2 Brighton
18-01-2025,Man United,1,3,Brighton,Man United 1 - 3 Brighton
24-01-2025,Brighton,0,1,Everton,Brighton 0 - 1 Everton
31-01-2025,Nott'm Forest,7,0,Brighton,Nott'm Forest 7 - 0 Brighton
13-02-2025,Brighton,3,0,Chelsea,Brighton 3 - 0 Chelsea
21-02-2025,Southampton,0,4,Brighton,Southampton 0 - 4 Brighton
24-02-2025,Brighton,2,1,Bournemouth,Brighton 2 - 1 Bournemouth
07-03-2025,Brighton,2,1,Fulham,Brighton 2 - 1 Fulham
17-08-2024,Chelsea,0,2,Man City,Chelsea 0 - 2 Man City
24-08-2024,Wolves,2,6,Chelsea,Wolves 2 - 6 Chelsea
31-08-2024,Chelsea,1,1,Crystal Palace,Chelsea 1 - 1 Crystal Palace
13-09-2024,Bournemouth,0,1,Chelsea,Bournemouth 0 - 1 Chelsea
20-09-2024,West Ham,0,3,Chelsea,West Ham 0 - 3 Chelsea
27-09-2024,Chelsea,4,2,Brighton,Chelsea 4 - 2 Brighton
05-10-2024,Chelsea,1,1,Nott'm Forest,Chelsea 1 - 1 Nott'm Forest
19-10-2024,Liverpool,2,1,Chelsea,Liverpool 2 - 1 Chelsea
26-10-2024,Chelsea,2,1,Newcastle,Chelsea 2 - 1 Newcastle
02-11-2024,Man United,1,1,Chelsea,Man United 1 - 1 Chelsea
09-11-2024,Chelsea,1,1,Arsenal,Chelsea 1 - 1 Arsenal
22-11-2024,Leicester,1,2,Chelsea,Leicester 1 - 2 Chelsea
30-11-2024,Chelsea,3,0,Aston Villa,Chelsea 3 - 0 Aston Villa
03-12-2024,Southampton,1,5,Chelsea,Southampton 1 - 5 Chelsea
07-12-2024,Tottenham,3,4,Chelsea,Tottenham 3 - 4 Chelsea
14-12-2024,Chelsea,2,1,Brentford,Chelsea 2 - 1 Brentford
21-12-2024,Everton,0,0,Chelsea,Everton 0 - 0 Chelsea
25-12-2024,Chelsea,1,2,Fulham,Chelsea 1 - 2 Fulham
29-12-2024,Ipswich,2,0,Chelsea,Ipswich 2 - 0 Chelsea
03-01-2025,Crystal Palace,1,1,Chelsea,Crystal Palace 1 - 1 Chelsea
13-01-2025,Chelsea,2,2,Bournemouth,Chelsea 2 - 2 Bournemouth
19-01-2025,Chelsea,3,1,Wolves,Chelsea 3 - 1 Wolves
24-01-2025,Man City,3,1,Chelsea,Man City 3 - 1 Chelsea
02-02-2025,Chelsea,2,1,West Ham,Chelsea 2 - 1 West Ham
13-02-2025,Brighton,3,0,Chelsea,Brighton 3 - 0 Chelsea
21-02-2025,Aston Villa,2,1,Chelsea,Aston Villa 2 - 1 Chelsea
24-02-2025,Chelsea,4,0,Southampton,Chelsea 4 - 0 Southampton
08-03-2025,Chelsea,1,0,Leicester,Chelsea 1 - 0 Leicester
17-08-2024,Brentford,2,1,Crystal Palace,Brentford 2 - 1 Crystal Palace
23-08-2024,Crystal Palace,0,2,West Ham,Crystal Palace 0 - 2 West Ham
31-08-2024,Chelsea,1,1,Crystal Palace,Chelsea 1 - 1 Crystal Palace
13-09-2024,Crystal Palace,2,2,Leicester,Crystal Palace 2 - 2 Leicester
20-09-2024,Crystal Palace,0,0,Man United,Crystal Palace 0 - 0 Man United
27-09-2024,Everton,2,1,Crystal Palace,Everton 2 - 1 Crystal Palace
04-10-2024,Crystal Palace,0,1,Liverpool,Crystal Palace 0 - 1 Liverpool
20-10-2024,Nott'm Forest,1,0,Crystal Palace,Nott'm Forest 1 - 0 Crystal Palace
26-10-2024,Crystal Palace,1,0,Tottenham,Crystal Palace 1 - 0 Tottenham
